,title,url,date,tag,scraped,collections,text,subheadings,image_urls
0,"Kun je ontkennen dat je een polderfascist bent, door je te distantiëren van het poldermodel?",https://www.volkskrant.nl/cultuur-media/kun-je-ontkennen-dat-je-een-polderfascist-bent-door-je-te-distantieren-van-het-poldermodel~bc236b60/,2023-11-29,Cultuur & Media,False,,,,
1,Met kleine architectonische speldeprikjes is Tilburg het ‘wonder van Brabant’ geworden,https://www.volkskrant.nl/cultuur-media/met-kleine-architectonische-speldeprikjes-is-tilburg-het-wonder-van-brabant-geworden~b0126de5/,2023-08-28,Cultuur & Media,False,,,,
2,"Een weekend vol weersextremen, met Nederland als het hoekje van Europa waar de warmte niet kan komen",https://www.volkskrant.nl/nieuws-achtergrond/een-weekend-vol-weersextremen-met-nederland-als-het-hoekje-van-europa-waar-de-warmte-niet-kan-komen~be6d4980/,2023-07-16,Nieuws & Achtergrond,False,,,,
3,Architect Marco Vermeulen: ‘De Nieuw Maas heeft de potentie om het ‘Central Park’ van Rotterdam te worden’,https://www.volkskrant.nl/cultuur-media/architect-marco-vermeulen-de-nieuw-maas-heeft-de-potentie-om-het-central-park-van-rotterdam-te-worden~b77b5b26/,2023-06-06,Cultuur & Media,False,,,,
4,Volgepakte hommels kunnen bezwijken onder de hitte,https://www.volkskrant.nl/wetenschap/volgepakte-hommels-kunnen-bezwijken-onder-de-hitte~b7a6d9dc/,2023-05-17,Wetenschap,False,,,,
5,‘Waterstofvrouw’ wil chemische industrie van binnenuit veranderen,https://www.volkskrant.nl/economie/waterstofvrouw-wil-chemische-industrie-van-binnenuit-veranderen~b8a69748/,2023-05-04,Economie,False,,,,
6,"Rapport: stikstof, verdroging en versnippering bedreigen natuur, grootschalig herstel is noodzakelijk",https://www.volkskrant.nl/nieuws-achtergrond/rapport-stikstof-verdroging-en-versnippering-bedreigen-natuur-grootschalig-herstel-is-noodzakelijk~b244640e/,2023-03-30,Nieuws & Achtergrond,False,,,,
7,"Hoe overleef je de stad bij bijna 40 graden? ‘Ik vang veel wind op mijn scootmobiel, hoor’",https://www.volkskrant.nl/nieuws-achtergrond/hoe-overleef-je-de-stad-bij-bijna-40-graden-ik-vang-veel-wind-op-mijn-scootmobiel-hoor~b20d5b7d/,2022-07-19,Nieuws & Achtergrond,False,,,,
8,Vierdaagse wordt driedaagse vanwege verwachte tropische temperaturen,https://www.volkskrant.nl/nieuws-achtergrond/vierdaagse-wordt-driedaagse-vanwege-verwachte-tropische-temperaturen~b2a9d863/,2022-07-17,Nieuws & Achtergrond,False,,,,
9,"Ruim 90 procent van het Groot Barrièrerif verbleekt door hitte, toen het juist koel had moeten zijn",https://www.volkskrant.nl/nieuws-achtergrond/ruim-90-procent-van-het-groot-barriererif-verbleekt-door-hitte-toen-het-juist-koel-had-moeten-zijn~b590da94/,2022-05-13,Nieuws & Achtergrond,False,,,,
