,search_rank,title,source,date,category,url,snippet,article_text,subheadings,tag,img_urls,comments_present,scraped
0,71,Zware onweersbuien trekken over Nederland | Binnenland,NU,2013-07-26,Binnenland,https://www.nu.nl/binnenland/3535382/zware-onweersbuien-trekken-nederland.html,Foto's van het zomerweer l Zevende hittegolf sinds 2000 | Bekijk het actuele weerbericht. 1 / 4. Heftige onweersbuien in Nederland. De meteorologen van de ...,"Festivals en evenementen moeten dit weekend rekening houden met mogelijk zeer zware onweersbuien. 
De meteorologen van de verschillende weerdiensten adviseren zeker tot en met zondag weerbericht en neerslagradar goed in de gaten te houden.
De buien kunnen plotseling ontstaan en gepaard gaan met zeer zware windstoten, hagel, heel veel regen en onweer. Overlast dus, zeggen onder meer Weerplaza en WeerOnline.nl. Het KNMI verwacht vrijdag  's middags en 's avonds steeds nieuwe buien.
WeerOnline.nl constateert plaatselijk dichte mist in de ochtend, vooral in het noorden. Mist op warme dagen is volgens het bureau een vreemde combinatie en geeft aan dat er zeer veel energie aanwezig is. Veel dagen met zwaar onweer begonnen de afgelopen jaren met mist.
Het festivalseizoen is op dit moment in volle gang. Alleen dit weekend al staan er in Nederland tientallen muziek-, theater-, sport- en eetfestivals op het programma. De meteorologen houden een oogje in het zeil, en waarschuwen de festivalorganisator als er bijvoorbeeld een onweersbui de richting van het festivalterrein opdrijft. Ook wateroverlast, hagel, windstoten, extreme hitte en zonkracht worden in de gaten gehouden.
''Veiligheidsplannen zorgen ervoor dat binnen een kwartier ontruimd kan worden"", legt Sandor van Geelen van evenmentenorganisatie IDTV uit. ''Zo kunnen tijdens een evenement op het Malieveld in Den Haag bezoekers worden opgevangen in de hal van het nabijgelegen centraal station. Van alles wat je plaatst, zoals tenten, afdakjes en podia, weet je wat de grenzen zijn. En daar zijn zulke plannen op afgestemd"", aldus van Geelen.
Ook de organisatie van stunt- en muziekfestival Zwarte Cross heeft voorzorgsmaatregelen genomen en kan gebruikmaken van sporthallen in de buurt van het terrein om mensen op te vangen als dat vanwege het noodweer nodig is, laat Ronnie Deger van organisator De Feestfabriek weten.
Drie jaar geleden ging het bij de Zwarte Cross mis toen noodweer een groot aantal tenten op het terrein vernielde. Vier mensen raakten gewond. Tijdens het Belgische festival Pukkelpop kwamen in 2011 vijf mensen om het leven door noodweer.
Rond het middaguur zijn de meeste buien al flink los gebarsten in het zuiden, maar ook op andere plaatsen in Nederland. De Koog in Texel heeft in de ochtend de meeste neerslag te verduren gekregen, meldt Weeronline.nl. 
Ondanks de hevige regenval en onweersbuien worden de zwaarste buien pas rond het einde van de middag en het begin van de avond verwacht. In de loop van de middag knapte het weer iets op en kan op sommige plaatsen zelfs de zon schijnen. Weeronline waarschuwt nog steeds voor zware onweersbuien die nog kunnen vormen of vanuit Frankrijk en België ons land binnen trekken.
Zaterdag ziet het weerbeeld er ongeveer zo uit als vrijdag: drukkend warm met opnieuw behoorlijke buien. Ook zondag is er nog kans op een bui. Oppassen geblazen, waarschuwt meteoroloog Marco Verhoef van Weerplaza.nl.
De vrijdagetappe van de Strandzesdaagse is afgelast. De organisatie heeft daartoe besloten met het oog op verwacht slecht weer. De lopers zouden vrijdag wandelen van Egmond aan Zee naar Callantsoog. ''De weersverwachting is niet best. Met onweer, hagelbuien en windstoten kun je beter niet op het strand zijn'', zei woordvoerder Woody van Loo vrijdag.
Drie havenwerkers zijn vrijdag gewond geraakt toen de bliksem insloeg in de kraan waarmee zij een schip in werden gehesen. Dat meldde de brandweer in Zeeland.
Een van de drie mannen was volgens een woordvoerder van de brandweer verminderd aanspreekbaar. Alle drie zijn ze met ambulances naar het ziekenhuis vervoerd. Ze zijn zelf niet getroffen door de bliksem, benadrukt de woordvoerder.
Foto's van het zomerweer l Zevende hittegolf sinds 2000 | Bekijk het actuele weerbericht
","['Festivals', 'Zwaarste buien', 'Oppassen', 'Bliksem']",,['https://media.nu.nl/m/m1mxwtsa4x7w_wd854/bliksem-boven-haven-wageningen.jpg'],False,True
1,77,'Overheid laks in aanpak gevaarlijke tijgermug' | Binnenland,NU,2013-07-28,Binnenland,https://www.nu.nl/binnenland/3536841/overheid-laks-in-aanpak-gevaarlijke-tijgermug.html,Het platform is er niet gerust op dat het de overheid lukt de vierde achtereenvolgende aanval van de tijgermug af te slaan. De mug is dankzij de hittegolf aan ...,"De overheid is laks in de aanpak van de uitheemse tijgermug. Dat zegt het Platform Stop Invasieve Exoten. Het platform is er niet gerust op dat het de overheid lukt de vierde achtereenvolgende aanval van de tijgermug af te slaan.
De mug is dankzij de hittegolf aan een vierde poging begonnen zich in ons land te vestigen. Dit brengt de vrees met zich mee dat de mug gaat zorgen voor het verspreiden van nieuwe tropische ziekten. 
Het Platform Stop Invasieve Exoten platform noemt de aanpak van de overheid tegen de tijgermug 'laks’. 
In Azië moeten banden en bamboeplantjes worden vergast en pas daarna naar Nederland worden verscheept, stelt het platform van bezorgde wetenschappers.
Minister Edith Schippers (Volksgezondheid) vindt dat niet nodig. Zij heeft vorige maand een convenant gesloten met de importeurs van autobanden en Lucky Bambooplantjes, producten waarin de larven van tijgermuggen zich nestelen.
Schippers stelt op basis van een advies van het RIVM ''dat er weinig preventieve maatregelen zijn die bewezen effectief zijn.""
Bestrijders van de Nieuwe Voedsel- en Waren Autoriteit (NVWA) zijn in Oss bezig met het bestrijdingsmiddel Vectobac de muggenlarven en de volwassen tijgermuggen weg te jagen.
Het Aziatische broertje van de Hollandse huis-, tuin- en keukenmug heeft een onhebbelijke eigenschap: hij steekt ook overdag en kan mogelijk tropische ziekten overbrengen.
Dat gebeurde 6 jaar geleden in Italië. Meer dan 200 mensen werden ziek. Zij kregen een soort knokkelkoorts, overgebracht via het Chikungunya-virus.
Het insect is drie weken geleden andermaal ontdekt in Oss, een plek waar hij sinds 2010 elke zomer is opgedoken in de buurt van een grote bandenimporteur. Daar nestelt hij zich in uit Azië geïmporteerde auto- en vliegtuigbanden. Daarvan zijn er zo'n 30 in Nederland.  
''Het insect is geniepig, lastig te vinden en heel actief overdag,"" zegt voorzitter Wilfred Reinhold van het Platform Stop Invasieve Exoten. ''Als de mug er eenmaal is, krijg je hem niet meer weg. Kijk maar naar Italië: Bijna heel dat land is vergeven van de tijgermuggen.""
In 2010, 2011, 2012 werden ook al tijgermuggen gevonden in  Oosterhout, Heijningen en Oss. Dat had volgens medisch entomoloog Bart Knols, verbonden aan de Wageningen Universiteit en groot kenner van ziekteverwekkende insecten, een reden moeten zijn voor een ferme aanpak tegen een dreigende invasie.
In plaats daarvan reageert de overheid slap en inadequaat, stelt Knols. Op 8 juli werd de eerste tijgermug ontdekt, pas aan het einde van deze week is begonnen met bestrijding. ''Dat is zeventien dagen na de ontdekking. Wat dreigt is dat we straks een kleine Q-koortsaffaire krijgen, omdat de overheid laks is geweest is in de bestrijding,"" zegt Knols.
Hij noemt het 'onbegrijpelijk' dat de larven en muggen nog steeds het land in kunnen komen.
De wetenschapper, aangesloten bij het Platform Stop Invasieve Exoten, stelt dat de hittegolf gecombineerd met de regen een uitstekende broedplaats is voor een tijgermuggenplaag. ''Het is een vervelend beestje dat je beslist niet in je tuin wilt hebben rondvliegen.""
De NWVA zegt juist zeer alert te zijn op de aanwezigheid van tijgermuggen. Er worden volgens de NVWA echter een bestrijdingsmiddel (Vectobac) gebruikt dat niet zonder toestemming van twee ministeries mag worden gebruikt. ''En we volgen de wet"", aldus een woordvoerder van de NVWA.
De tijgermug wordt volgens de NVWA allerminst onderschat. ''We bestrijden niet voor niets en we pakken groots uit tegen de tijgermug,"" aldus de woordvoerder. ''Wel moet gezegd worden dat vooralsnog niet een keer tropische ziekte bij een tijgermug is aangetroffen.""","['Overbodig', 'Knokkelkoorts', 'Lastig te vinden', 'Hittegolf']",,['https://media.nu.nl/m/m1nxc5lal045_wd854/tijgermug.jpg'],False,True
2,11,Nederland wordt langzaam net zo warm als Zuid-Frankrijk,NU,2014-12-12,Nuweekend,https://www.nu.nl/weekend/3951566/nederland-wordt-langzaam-net-zo-warm-als-zuid-frankrijk.html,"Geen hittegolf en toch het warmste jaar in (minstens) drie eeuwen; 2014 is in meteorologisch opzicht nu al historisch. ""De gemiddelde temperatuur in Nederland ...","Geen hittegolf en toch het warmste jaar in (minstens) drie eeuwen; 2014 is in meteorologisch opzicht nu al historisch.
""De gemiddelde temperatuur in Nederland zal meer en meer vergelijkbaar zijn met midden-Frankrijk"", zegt Margot Ribberink van Meteo Consult. ""En de kans is groot, dat het hier tegen het eind van de eeuw op Zuid-Frankrijk lijkt.""
Nog even wachten dus op de palmenstranden van Zandvoort en Scheveningen, maar dat ze er komen, daar twijfelt bijna geen weerkundige meer aan.
""Het zal in elk geval een hele andere natuur zijn dan nu"", zegt Ribberink. ""Je ziet nu al voorzichtig zuidelijke dier- en plantensoorten, zoals teken, eikenprocessierupsen en kleine mosjes. Als de ontwikkeling doorzet zoals verwacht, zullen het er steeds meer en steeds grotere worden.""
Zeker is sinds deze week dat de gemiddelde temperatuur nog niet zo hoog is geweest sinds 1706, het eerste jaar dat er werd gemeten.
""In De Bilt kwam het jaargemiddelde uit op 11,5 graden, terwijl 10,1 graden normaal is"", zegt Harry Geurts van het KNMI. ""Tot nu toe waren 2006 en 2007 het warmst met 11,2 graden.""
De lente leek op zomer, in augustus was er noodweer en in oktober hadden we een van de warmste herfstweken ooit. Veel warmer dan 25 graden werd het vrijwel geen dag, maar echt vriezen deed het ook niet. Volgens Geurts en Ribberink heeft dat te maken met zowel de wind als de wereldwijde stijging van de temperatuur.
De wind kwam dit jaar veel uit het zuiden, waarmee warme lucht uit Spanje en Portugal werd aangevoerd. ""Normaal voor Nederland is een westenwind"", zegt Ribberink.
""Dan is het niet echt koud, maar ook niet echt warm. Maar we hebben heel lang geen westenwinden gehad en dat komt door de zogeheten straalstroom. Dat is een soort rivier van wind op zo'n tien kilometer hoogte. Daar merken we niet veel van. Dénken we.""
Als die 'rivier' vanaf de oostkust van Noord-Amerika straf oostwaarts loopt, tot boven Nederland, dan transporteert die rivier altijd wind en regen. Als die stroom echter meandert, oftewel kronkelt, dan worden de snelheid en kracht er uit gehaald.
Lange tijd is dat het geval geweest, waardoor die rivier niet over ons land is gestroomd. Daardoor is het niet alleen een warm jaar geworden, maar ook een overwegend rustig jaar. Momenteel stroomt die rivier overigens wel over ons land, waardoor we een week of twee wind en regen hebben.
Dat doet evenwel niets meer af aan het hoge jaargemiddelde, dat volgens Geurts in 2050 vermoedelijk heel normaal zal zijn.
""Dat is mede het gevolg van de wereldwijde temperatuurstijging, die voor een belangrijk deel wordt veroorzaakt door de toename van broeikassen, die vrijkomen bij de verbranding van fossiele brandstoffen als aardolie, aardgas en steenkolen.""
Klimaatwetenschappers zijn ervan overtuigd dat de aarde opwarmt, doordat we de dampkring verdikken met die broeikasgassen. De gemiddelde temperatuur in Nederland is daardoor 1,6 graden hoger dan een eeuw geleden.
De opwarming van Nederland en omliggende landen is vanaf 1950 zelfs twee keer zo groot als wereldwijd.
Geert Jan van Oldenborgh, klimaatonderzoeker bij het KNMI licht toe: ""Als je over de lange termijn kijkt, is de temperatuur opgelopen. Dat komt door het broeikaseffect. De zonactiviteit is sinds de jaren zestig in elk afgenomen, dus daar kan het niet aan liggen.""
Ribberink wijst er op, dat als we het over de toekomst van het weer hebben, het niet gaat over voorspellingen, maar over verwachtingen.
""Het zijn kansberekeningen. En gezien de ontwikkelingen is de kans groot dat het ook de komende decennia warmer zal worden. Evenals de kans dat we een keer een zomer krijgen met een of meer dagen van veertig graden.""
Van Oldenborgh: ""Je kunt wel zeggen hoe de temperatuur zich over een periode van enkele tientallen jaren zal gedragen, maar niet hoe dat volgend jaar zal zijn. Net als het weer is ook de temperatuur grillig. Maar aangezien 2014 het warmste jaar in drie eeuwen is, durf ik wel te zeggen dat het volgend jaar niet warmer zal worden.""
Meer langere verhalen en achtergronden op NUweekend","['Lente leek op zomer', 'Broeikasgassen', 'Voorspelling wordt verwachting']",,['https://media.nu.nl/m/m1oxidmapv50_wd854/zon-zomer-strand-kust-zonsondergang-noordwijk.jpg'],False,True
3,34,'Kou doodt veel meer mensen dan warm weer' | Wetenschap,NU,2015-05-21,Wetenschap,https://www.nu.nl/wetenschap/4053535/kou-doodt-veel-meer-mensen-dan-warm-weer.html,"Opvallend is ook dat er op de lange termijn meer mensen lijken te bezweken aan gematigde kou, dan aan weersextremen zoals een hittegolf of een koudegolf. ""Vaak ...","Bij koud weer komen meer mensen om het leven dan bij zeer warme weersomstandigheden, zo blijkt uit een nieuwe, uitgebreide studie. 
Kou eist wereldwijd maar liefst 20 keer zo veel slachtoffers als hitte.
Daarnaast overlijden mensen eerder door een lange periode van gematigde kou dan door een korte periode van extreme kou of hitte.
Dat melden Britse onderzoekers in het wetenschappelijk tijdschrift The Lancet.
De wetenschappers gebruikten bij hun studie een database van 74 miljoen sterfgevallen in 12 verschillende landen, waaronder de Verenigde Staten, Engeland, Zweden, Canada en Australië. Nederland werd in de studie niet meegenomen.
Met een statistische analyse berekende de onderzoekers dat 7,71 procent van die overlijdensgevallen waren te verklaren door weersomstandigheden.
Kou was volgens de wetenschappers verantwoordelijk voor veruit de meeste van de sterfgevallen: 7,21 procent. Hitte was de boosdoener bij slechts 0,42 procent van de overlijdensgevallen.
Opvallend is ook dat er op de lange termijn meer mensen lijken te bezweken aan gematigde kou, dan aan weersextremen zoals een hittegolf of een koudegolf.
""Vaak wordt aangenomen dat extreem weer de meeste doden veroorzaakt"", verklaart hoofdonderzoeker Antonio Gasparrini van de London School of Hygiene & Tropical Medicine op nieuwssite ScienceDaily. ""Veel onderzoek is daarom gefocust op hittegolven.""
""Maar uit onze analyse van de grootste dataset van weergerelateerde overlijdensgevallen blijkt dat de meeste mensen sterven op dagen waarop het gematigd koud of warm is.""
De studie is echter ook onderwerp van kritiek. In de Britse krant The Guardian suggereren wetenschappers dat door de rekenmethode van de onderzoekers mogelijk te veel sterfgevallen aan milde kou zijn toegeschreven.
Gasparrini is echter overtuigd van de resultaten. Hij adviseert overheden om bij het nemen van maatregelen om weergerelateerde sterfgevallen te voorkomen minder de nadruk te leggen op extreem weer. 
""Nu focussen overheden zich bij het nemen van voorzorgsmaatregelen vooral op hittegolven. Ons onderzoek suggereert dat die aanpak moet veranderen.""","['Opvallend', 'Gematigd', 'Maatregelen']",,['https://media.nu.nl/m/m1oxlplaump1_wd854/chicago.jpg'],False,True
4,63,'Waterverbruik al met 20 procent toegenomen' | Wonen,NU,2015-06-30,Wonen,https://www.nu.nl/wonen-en-interieur/4078589/waterverbruik-al-met-20-procent-toegenomen.html,De temperatuur in Nederland gaat gestaag omhoog en nu al is het waterverbruik tijdens piekmomenten met 20 tot zelfs 25 procent gestegen.,"De temperatuur in Nederland gaat gestaag omhoog en nu al is het waterverbruik tijdens piekmomenten met 20 tot zelfs 25 procent gestegen. 
Dat meldt drinkwaterbedrijf Vitens dinsdag, dat verwacht dat het waterverbruik de komende dagen alleen nog maar zal toenemen als we een hittegolf krijgen.
Vitens neemt extra maatregelen om tijdens de hitte te kunnen blijven voldoen aan de vraag. Zo houdt het de waterreservoirs maximaal gevuld en wordt het verbruik extra in de gaten gehouden.
""'s Nachts draaien de productiebedrijven door om extra water op te pompen'', aldus Vitens dinsdag.
Het waterleidingbedrijf heeft 5,5 miljoen klanten, zowel particulieren als bedrijven in onder meer Friesland, Flevoland en Utrecht.",[],,['https://media.nu.nl/m/m1oxblxaq0sn_wd854/waterverbruik-al-met-20-procent-toegenomen.jpg'],False,True
5,42,Maastricht donderdag warmste plek van Nederland,NU,2015-07-02,Binnenland,https://www.nu.nl/binnenland/4080650/maastricht-donderdag-warmste-plek-van-nederland.html,In dat jaar had Nederland te kampen met drie hittegolven tussen mei en augustus. ... hittegolf niet zo groot.© NU.nl/Peter Trompetter · Volgens Verhoef komt zelfs ...,"In Maastricht is donderdagmiddag 38,2 graden gemeten. Het was de warmste plek van het land en de heetste juli-dag sinds 1947, toen het KNMI de warmste zomer van de 20e eeuw noteerde.
In dat jaar had Nederland te kampen met drie hittegolven tussen mei en augustus. Maastricht was toen ook de warmste stad van het land met 38,4 graden.
Donderdag traden wel grote verschillen op in temperaturen. Aan de kust was het met gemiddeld 21 graden aanzienlijk koeler dan in het binnenland dankzij een westenwind.
Vrijdag en zaterdag is het opnieuw warm met naar verwachting extreme hitte op zaterdag.
Het record voor de warmste dag ooit is nog steeds in handen van Warnsveld. Daar werd het op 23 augustus 1944 38,6 graden.
Video: Maastricht donderdag warmste plek van Nederland",[],,['https://media.nu.nl/m/aecxkeqa3g5s_wd854/maastricht-donderdag-warmste-plek-van-nederland.jpg'],False,True
6,64,"Het weer: Opnieuw zeer heet, later kans op onweer",NU,2015-07-02,Actueel,https://www.nu.nl/dvn/4080129/weer-opnieuw-zeer-heet-later-kans-onweer.html,"Hoewel heet weer in Nederland vaak gepaard gaat met onweersbuien, lijkt de kans daarop tijdens deze hittegolf niet zo groot.© NU.nl/Peter Trompetter · Volgens ...","Het is zonnig en zeer heet. In een groot deel van het land wordt het 34 tot lokaal zelfs 38 graden bij een vaak zwakke zuidoostenwind.
In de westelijke provincies zorgt een opstekende zeebries voor maxima van 26 tot 31 graden. Bovendien neemt vanuit Zeeland daar de bewolking toe met kans op een onweersbui.
Vanmiddag en vanavond kunnen enkele onweersbuien voorkomen, het eerst in Zeeland. Lokaal is ook hagel mogelijk. De buien zullen in de loop van de nacht weer verdwijnen.
Morgenochtend trekken eventuele buien snel weg en breekt de zon weer door. Met 25 tot 32 graden is het minder heet dan vandaag. Zaterdag wordt het opnieuw extreem warm met 31 tot op een enkele plek mogelijk 38 graden.
Video: Bekijk het weerbericht",[],,['https://media.nu.nl/m/od4x2ztaxwdd_wd854/bloemendaal-aan-zee.jpg'],False,True
7,82,NS Reisplanner voegt meerdere ov-reisopties toe,NU,2015-07-06,Apps,https://www.nu.nl/apps/4082578/ns-reisplanner-voegt-meerdere-ov-reisopties-toe.html,Leger komt NS voortaan te hulp tijdens hittegolf. Leger komt NS voortaan te ... Net binnen · 00:01. CO2-uitstoot in Nederland is gedaald ondanks economische groei.,"De officiële app van de Nederlandse Spoorwegen (NS) is geüpdatet met de mogelijkheid om reisopties met het volledige openbaar vervoer te tonen, zoals bussen, metro's en trams.
Dat laat de NS maandag weten. De update voor NS Reisplanner Xtra is beschikbaar voor Android en iOS. 
De vernieuwde NS-app toont alle beschikbaar reisopties met het openbaar vervoer, waarbij de resultaten in een nieuw design worden weergegeven. De resultaten zijn afkomstig van 9292.
Door op een reisoptie te drukken, krijgt de gebruiker extra details, zoals de vertrektijden, aankomt- en vertreksporen en de looptijd. Bij de resultaten worden de actuele tijden vermeld. 
""Reizigers willen graag een volledig reisadvies van deur tot deur. Daarom hebben we deze update uitgerold"", aldus een woordvoerder van de NS tegenover NU.nl
Daarnaast introduceert de NS de treinradar in de app, waarmee mensen de actuele positie en snelheid van een trein kunnen bekijken.
NS bevestigt dat het geen plannen heeft om een Windows Phone-app te ontwikkelen. ""We stellen wel onze api's beschikbaar om andere ontwikkelaars apps te laten bouwen"", aldus de NS.","['Deur tot deur', 'Windows Phone']",,['https://media.nu.nl/m/ps2xbgtayn9p_wd854/ns-reisplanner.jpg'],False,True
8,41,Bier grootste dorstlesser op sportclubs tijdens hittegolf,NU,2015-07-08,Lifestyle,https://www.nu.nl/lifestyle/4084247/bier-grootste-dorstlesser-sportclubs-tijdens-hittegolf.html,"Daarbij is gekeken naar de meest bestelde dranken bij 464 hockey-, tennis- en voetbalclubs in Nederland tijdens de hittegolf periode van de afgelopen week.","Onderzoek wijst uit dat de afgelopen week op de Nederlandse sportverenigingen een recordaantal liters bier is besteld.
Dat blijkt woensdag uit onderzoek van Le Credit Sportif, leverancier van kassasystemen voor sportverenigingen. Daarbij is gekeken naar de meest bestelde dranken bij 464 hockey-, tennis- en voetbalclubs in Nederland tijdens de hittegolf periode van de afgelopen week.
Op sportclubs werd gemiddeld 25 procent meer bier gedronken dan normaal. Bij voetbalverenigingen was de stijging met 31 procent het hoogst.
Op tennisverenigingen was het verschil het minst groot. Hier werd 19 procent meer bier gedronken. 
Er werden een stuk minder warme dranken geschonken. Normaal gesproken is 48 procent van de bestellingen een warm drankje zoals koffie of thee. Tijdens de hittegolf daalde dit naar 14 procent.",[],,['https://media.nu.nl/m/m1mxt74armog_wd854/bier-tappen.jpg'],False,True
9,26,Het weer in juli: maand met extreem weer,NU,2015-07-29,Actueel,https://www.nu.nl/dvn/4097103/weer-in-juli-maand-met-extreem-weer.html,Hittegolf. Nederland maakte begin deze maand voor de achtste keer deze eeuw een hittegolf door. Dat is het geval als in De Bilt gemeten minimaal vijf zomerse ...,"Juli was een maand met extreem weer. De maand begon met een hittegolf, daarna vroor het lokaal aan de grond en afgelopen zaterdag was de zwaarste storm ooit in juli. Een overzicht:
De gemiddelde maandtemperatuur komt naar verwachting uit op 18,4 graden tegen 17,9 graden normaal gesproken in juli, meldt Weeronline in het maandoverzicht.
Nederland maakte begin deze maand voor de achtste keer deze eeuw een hittegolf door. Dat is het geval als in De Bilt gemeten minimaal vijf zomerse dagen van 25 graden of hoger worden gemeten. Van die reeks moeten er minimaal drie tropisch zijn met temperaturen van minstens 30 graden.
De heetste dag was donderdag 2 juli. In Maastricht kwam de temperatuur toen uit op 38,2 graden. Het absolute record (38,6 graden in Warnsveld op 23 augustus 1944) werd net niet gehaald.
In de hele maand scheen de zon met ongeveer 220 uur zon iets meer dan de gebruikelijke 203 uur.
Er viel in juli ongeveer 90 millimeter neerslag, tegen 78 millimeter normaal gesproken.
Vooral in Groningen en Drenthe was het een zeer natte maand. Op verschillende plaatsen in die provincies viel meer dan 150 millimeter regen.
Na de hittegolf werd het kouder. Op vrijdag 10 juli kwam de temperatuur aan de grond in Twente zelfs tot 1,3 graden onder nul. Sinds 1970 is in Nederland in juli vijf keer vorst aan de grond gemeten.
Nooit eerder begon de laatste julidag zo koud als dit jaar. In het Gelderse Deelen was het vrijdag om 6.40 uur precies 4 graden. In De Bilt kwam de minimumtemperatuur een uurtje eerder uit op 5,1 graden. De periode tussen 20 juli en 20 augustus is doorgaans de warmste tijd van het jaar.
De zomerstorm van afgelopen zaterdag was ook uitzonderlijk. In IJmuiden werd een windstoot van 121 kilometer per uur gemeten, aldus Weeronline.
De maand juli eindigde en maand augustus begon behoorlijk zonnig. Zondag stijgt de temperatuur naar 21 graden in de kustgebieden tot een zomerse 25 of 26 graden in het zuiden en zuidoosten. 
De wind is veranderlijk van richting of waait uit het zuidwesten, meestal zwak, soms matig, 2 of 3 Bft.
Maandag wordt het zeer warm, 28 tot 32 graden. Daarbij is het vrij zonnig en blijft het droog. In de nacht naar dinsdag of dinsdag overdag vallen (onweers)buien en daarmee verdwijnt eventjes de zomerse warmte.
Actueel weerbericht","['Hittegolf', 'Regen', 'Vorst,\xa0kou en storm', 'Voorspelling']",,['https://media.nu.nl/m/rlex7oyaf0yv_wd854/veel-wind-aan-zee-in-katwijk.jpg'],False,True
