,titles,url,scraped,article_text,subheadings,tag,img_urls,comments_present
0,"Weerbericht: Einde Hitteplan, landinwaarts veel kans op onweer",https://www.nu.nl/binnenland/6071003/weerbericht-einde-hitteplan-landinwaarts-veel-kans-op-onweer.html,True,"Het Nationale Hitteplan van het RIVM komt zaterdag halverwege de ochtend ten einde, na een week van tropische warmte. Aan zee laat de zon zich relatief vaak zien, terwijl in het binnenland vooral kans is op regen en onweer.
Aan zee stijgt het kwik naar 23 graden en landinwaarts wordt het warmer. Daar komen de temperaturen tussen de 25 en 29 graden.
Er waait weinig wind en het weer is vrij klam.
Bekijk hier het volledige weerbericht op jouw locatie. Je vindt het weerbericht ook altijd bovenaan de voorpagina.",[],,['https://media.nu.nl/m/aruxywpax1hj_wd854/weerbericht-einde-hitteplan-landinwaarts-veel-kans-op-onweer.jpg'],True
1,Nationaal Hitteplan komende dagen van kracht in alle provincies,https://www.nu.nl/binnenland/6068921/nationaal-hitteplan-komende-dagen-van-kracht-in-alle-provincies.html,True,"Het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) activeert vanaf donderdag het Nationaal Hitteplan. Nederland krijgt de komende week namelijk te maken met een reeks tropische dagen.
Het Nationaal Hitteplan is een waarschuwing voor hitte en de risico's die dit met zich mee kan brengen. Ook geldt het als een oproep om extra op elkaar te letten.
Het RIVM meldt dat het woensdag al warm is en dat het de komende dagen nog veel warmer gaat worden. ""Voor veel mensen betekent dat genieten op het strand of in de tuin. Voor anderen is het niet zo fijn en voor groepen kwetsbare mensen brengt het hete weer zelfs risico's met zich mee.""
Onder personen met een kwetsbare gezondheid vallen onder anderen baby's, chronisch zieken, mensen met overgewicht, bewoners van verzorgingshuizen en mensen in een sociaal isolement. Volgens het RIVM moeten zij deze week extra alert zijn op uitdroging en oververhitting.
Het RIVM waarschuwt daarnaast voor smog. Mensen die gevoelig voor smog zijn, krijgen daarom het advies om binnen te blijven en zware lichamelijke inspanning te beperken. Hierbij richt het instituut zich vooral op mensen met chronische aandoeningen aan de longen, het hart en vaten.
Volgens Weerplaza is het woensdag ""nog relatief koel in vergelijking met wat ons te wachten staat"". De komende vier dagen worden temperaturen van 30 tot 35 graden verwacht.
Op zaterdag, de warmste dag van week, kan het in het zuiden van Nederland zelfs 37 graden worden. Ook na het weekend blijft het warm. ""Het ziet ernaar uit dat de hitte tot en met woensdag 12 augustus aanhoudt"", meldt Weerplaza.",['Week met tropische temperaturen verwacht'],,['https://media.nu.nl/m/o0hxd5mav5i9_wd854/nationaal-hitteplan-komende-dagen-van-kracht-in-alle-provincies.jpg'],True
2,Zomernieuws-update: Hitteplan van kracht | Reddingsteam naar Beiroet,https://www.nu.nl/algemeen/6068945/zomernieuws-update-hitteplan-van-kracht-reddingsteam-naar-beiroet.html,True,"Voor vakantiegangers die alleen even willen zien wat ze écht niet mogen missen, maken we een overzicht van het belangrijkste nieuws van vandaag.
Nationaal Hitteplan komende dagen van kracht in alle provincies
Het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) activeert vanaf donderdag het Nationaal Hitteplan. Nederland krijgt de komende week namelijk te maken met een reeks tropische dagen.
Het Nationaal Hitteplan is een waarschuwing voor hitte en de risico's die dit met zich mee kan brengen. Ook geldt het als een oproep om extra op elkaar te letten.
Nederland stuurt reddingsteam naar Beiroet
Nederland stuurt een zoek- en reddingsteam van 67 specialisten naar de Libanese hoofdstad Beiroet vanwege de enorme explosie in een loods op dinsdag.
Het team, bestaand uit politie- en brandweermensen, trauma-artsen en verplegend personeel, gaat daar helpen zoeken naar gewonden en lichamen onder het puin.
GGD: Stedelijke regio's houden zich steeds minder aan coronaregels
De sterke toename van het aantal coronabesmettingen in de stedelijke regio's is onder meer te verklaren met huisfeestjes en andere sociale bijeenkomsten waarbij de 1,5 meter afstand niet gewaarborgd wordt. Dat meldt GGD-GHOR op basis van bron- en contactonderzoek.
Kwart miljoen mensen dakloos na explosie Beiroet
De explosie die dinsdagmiddag plaatsvond in Beiroet heeft in één klap zo'n kwart miljoen personen dakloos gemaakt, stelde de gouverneur van de stad, Marwan Abboud.
Daarnaast is er voor miljarden euro's aan schade geleden en zijn nog honderden mensen vermist, waardoor de vrees voor een snel oplopend dodental gevoed wordt.
Op deze plekken in Amsterdam en Rotterdam moet je nu een mondkapje op
Vanaf woensdag is het dragen van een mondkapje op een aantal plekken in Amsterdam en Rotterdam verplicht voor iedereen van dertien jaar of ouder. NU.nl geeft een overzicht van de locaties waar de mondkapjesplicht geldt.
Stripclub op de Amsterdamse Wallen getroffen door corona-uitbraak
Een stripclub op de Wallen in Amsterdam is getroffen door een corona-uitbraak. Zeker tien personeelsleden en ten minste één bezoeker zijn positief getest zijn op het virus. De eigenaar van de stripclub heeft het pand gesloten.
Burgemeester Ahmed Aboutaleb van Rotterdam controleert of de mensen in zijn stad zich houden aan de mondkapjesplicht, die vandaag inging voor delen van het centrum. (Foto: Pro Shots)
Benelux: Met uitzondering van Noordwest-Nederland is het overal zonnig in de Benelux, met temperaturen rond de 30 graden. In de zuidelijk helft van de Benelux kan het de komende dagen zelfs meer dan 35 graden worden en ook op de Wadden en in het uiterste noorden van Nederland zijn tropische temperaturen mogelijk.
Duitsland: In Duitsland ontstaan vooral in de oostelijke helft verspreid stapelwolken. Het blijft wel overal droog. In West-Duitsland is het wel zonnig, daar wordt het ook het warmst met temperaturen boven 30 graden. In het oosten en zuiden van Duitsland is het met 27 tot 29 graden iets koeler.
Oostenrijk en Zwitserland: In de Alpenlanden is het wisselend bewolkt. Vooral in het zuidoosten van Oostenrijk kan lokaal een regen- of onweersbui tot ontwikkeling komen. De temperatuur komt uit op ongeveer 20 graden in delen van Oostenrijk tot plaatselijk 25 in het noordwesten van Zwitserland.
Frankrijk: Op verreweg de meeste plaatsen schijnt in Frankrijk de zon volop. De maxima liggen overal boven 30 graden. Donderdag is het op de warmste plaatsen zo'n 37 graden, vrijdag kan de temperatuur in Zuid-Frankrijk zelfs dicht bij 40 graden uitkomen.
Spanje en Portugal: In Spanje en Portugal blijft het nagenoeg overal droog, al ontstaan landinwaarts diverse stapelwolken bij temperaturen tussen 35 en 40 graden. Veel wind is er niet, al kan aan de kust een verkoelende zeewind opsteken. Italië: Vooral in de zuidelijke helft van Italië kan nog een regen- of onweersbui vallen. Voordat de buien vallen kan het kwik oplopen naar waarden rond 27 graden. In Noord-Italië blijft het droog en wordt het een paar graden warmer.
Lees hier een uitgebreider weerbericht of de voorspellingen voor andere vakantielanden
Ben je thuisblijver of ga je op vakantie in eigen land? De komende dagen wordt het zonnig, droog en heet. Houd daar rekening mee en drink genoeg water.","['Het nieuwsoverzicht van vandaag', 'Nieuws in beeld', 'Het weer op vakantie:']",,"['https://media.nu.nl/m/li1xld3ax1yl_wd854/hitte-in-nederland.jpg', 'https://media.nu.nl/m/0yrxsfyaasii_wd854.jpg']",True
3,Weerbericht: Tropische dag met temperaturen tot 34 graden,https://www.nu.nl/binnenland/6069007/weerbericht-tropische-dag-met-temperaturen-tot-34-graden.html,True,"Het wordt een tropische donderdag, met veel zon, weinig wind en een gemiddelde maximumtemperatuur van tussen de 30 en 34 graden.
Alleen in het noorden van het land is het iets koeler en wordt het niet warmer dan 29 graden.
Donderdagavond blijft het warm, met een minimumtemperatuur van 16 graden. Vrijdag wordt eveneens een tropische dag en ook in het weekend blijft het heet.
Het RIVM activeert donderdag het Nationaal Hitteplan, waarmee het waarschuwt voor de risico's die de hitte met zich mee kan brengen. Ook geldt het als een oproep om extra op elkaar te letten.
Bekijk hier het volledige weerbericht op jouw locatie. Je vindt het weerbericht ook altijd bovenaan de voorpagina.",[],,['https://media.nu.nl/m/o1txql1a42kq_wd854/heet-zomer-koe-rivier.jpg'],True
4,30 graden gemeten in De Bilt: start van zeer uitzonderlijke hittegolf,https://www.nu.nl/binnenland/6069109/30-graden-gemeten-in-de-bilt-start-van-zeer-uitzonderlijke-hittegolf.html,True,"De temperatuur bij het KNMI in De Bilt is donderdagmiddag opgelopen tot boven de 30 graden. Daardoor is er sprake van de eerste landelijke tropische dag van deze maand, maar meteorologen verwachten dat het pas het begin van een bijzonder hete periode is.
Zowel Weerplaza als het KNMI verwacht dat het tot en met aankomende woensdag tropisch warm blijft, met temperaturen tot en met 34 graden.
Vermoedelijk is de eerste landelijke hittegolf zondag al een feit, vertelt meteoroloog Diana Woei van Weerplaza in gesprek met NU.nl. ""Dan is het vijf dagen zomers warm geweest, met temperaturen tussen de 25 en 34 graden.""
Dat is uitzonderlijk, zegt Woei: volgens de data van Weerplaza levert de maand augustus gemiddeld maar één tropische dag op. ""Dit jaar worden het er zes of zeven.""
Voor het gros van de regio's is er sprake van een unicum. Sinds het begin van de metingen is daar nog geen sprake geweest van vijf opeenvolgende tropische dagen, legt Woei uit.
Het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) activeerde donderdag het Nationaal Hitteplan vanwege de aangekondigde temperaturen. Het plan geldt als een waarschuwing voor hitte en de risico's die dit met zich mee kan brengen, en vraagt Nederlanders om extra op elkaar te letten.
De tropische hitte houdt aan tot en met woensdag. Daarna blijft het warm, maar koelt het wel enkele graden af, waardoor er 'slechts' sprake is van zomerse temperaturen. Als het kwik tot onder de 25 graden daalt, is de hittegolf officieel voorbij.",['Hitteplan geactiveerd in alle provincies'],,['https://media.nu.nl/m/jikxuhwaizuf_wd854/zomer-in-nederland.jpg'],True
5,"Drukte op Nederlandse stranden, Katwijk roept mensen op thuis te blijven",https://www.nu.nl/binnenland/6069087/drukte-op-nederlandse-stranden-katwijk-roept-mensen-op-thuis-te-blijven.html,True,"Op de stranden in Zandvoort, Bloemendaal, Noordwijk, Katwijk en Hoek van Holland is het erg druk, waarschuwen de verschillende gemeenten donderdag.
In Zandvoort en Bloemendaal is het lastig om onderling 1,5 meter afstand te houden. Hierdoor kunnen onveilige situaties ontstaan, aldus de gemeente Bloemendaal op Twitter. ""Toch naar het strand? Houd rekening met volle parkeerplaatsen en drukte in de trein en op het station.""
Ook op andere stranden is het druk. Waaronder in Noordwijk en Hoek van Holland, waar alle parkeerplaatsen vol zijn. Katwijk roept mensen op thuis te blijven. ""Het wordt momenteel te druk. Daarom roepen wij iedereen op om vandaag niet meer naar Katwijk te komen"", aldus de gemeente.
Vanwege de hittegolf zet de NS de komende dagen extra treinen in op het traject van Amsterdam naar Zandvoort. De twee rechtstreekse treinen van Amsterdam Centraal naar de zee waren afgelopen vrijdag steeds overvol.
Op station Amsterdam Centraal, Haarlem en Zandvoort zullen extra medewerkers proberen de treinen ""zo optimaal mogelijk te vullen"".
De komende week is het erg warm in Nederland. Het RIVM activeert donderdag het Nationaal Hitteplan, waarmee het instituut waarschuwt voor de risico's die de hitte met zich mee kan brengen. Ook geldt dit als een oproep om extra op elkaar te letten.",[],,['https://media.nu.nl/m/s86xjdxa8vcl_wd854/drukte-op-nederlandse-stranden-katwijk-roept-mensen-op-thuis-te-blijven.jpg'],True
6,Warme plaknachten: 'Eet een pittige curry om af te koelen',https://www.nu.nl/gezondheid/6067958/warme-plaknachten-eet-een-pittige-curry-om-af-te-koelen.html,True,"Het Nationaal Hitteplan is van kracht en het blijft de komende dagen heet. Hoe kom je de nachten door? NU.nl vroeg het aan een slaapexpert. ""Eet een pittige curry.""
Hoe overleef je een plaknacht? Slaapexpert Winni Hofman van Somnio heeft enkele tips voor de zwetende slaper. ""Een pittige curry als avondmaaltijd klinkt misschien wat raar, maar in veel tropische landen is dat heel normaal"", zegt Hofman. ""Door pittig eten ga je zweten, en daardoor koelt je lichaam af.""
Koud douchen is geen goed idee, zegt Hofman. ""Juist een warme douche voor het slapen zorgt voor afkoeling. Hoewel een koele douche in eerste instantie lekker voelt, stimuleert het koude water de doorbloeding, waardoor je het na het douchen juist warm krijgt. Warm douchen opent daarentegen je poriën en de warmte kan daarna uit je lichaam ontsnappen.""
Om je slaapkamer koel te maken en te houden, moet je - zeker als je geen airconditioning hebt - overdag al maatregelen nemen, zegt Hofman. ""Hou de slaapkamer ook overdag donker en de slaapkamerramen dicht, zo blijft het koeler in de kamer. En zet vlak voor het slapen gaan alle ramen helemaal open als het buiten koeler is dan binnen.""
Wat dan ook helpt, is een ventilator voor het open raam zetten. Die blaast dan koelere lucht de kamer in. ""En hang een koele, natte en niet druipende doek voor het open raam of voor de ventilator om voor koelere lucht te zorgen. En ijswater in een kruik of in een sproeifles naast het bed kan in extreem hete nachten voor snelle afkoeling zorgen"", zegt Hofman.
Mocht het allemaal toch niet lukken, dan is er geen reden tot paniek, denkt Hofman. ""Een nachtje slecht slapen kan geen kwaad, daar kunnen we best tegen. Zeker nu er een weekend achteraan komt waarin de temperatuur ook in de nacht weer naar beneden gaat.""","[""'Door pittig eten ga je zweten'"", ""'Hou de slaapkamer overdag donker'""]",,['https://media.nu.nl/m/rrlx492av1zc_wd854/warme-plaknachten-eet-een-pittige-curry-om-af-te-koelen.jpg'],True
7,Hitteplan komende dagen van kracht in zeven provincies,https://www.nu.nl/binnenland/6060041/hitteplan-komende-dagen-van-kracht-in-zeven-provincies.html,True,"Het Nationaal Hitteplan is vanaf woensdagochtend van kracht in zeven provincies. Het Rijksinstituut voor Volksgezondheid en Milieu (RIVM) adviseert inwoners van Limburg, Noord-Brabant, Overijssel, Gelderland, Zeeland, Zuid-Holland en Utrecht alert te zijn op oververhitting.
Het besluit is genomen omdat de kans groot is dat zich in deze provincies de komende week een hittegolf voordoet. Dit betekent dat er vijf dagen achter elkaar temperaturen worden bereikt van 25 graden of meer. Van deze vijf dagen moet minimaal drie dagen de 30 graden worden aangetikt.
Het hitteplan is nu ingesteld voor provincies waar naar verwachting temperaturen rond en boven de 30 graden worden bereikt.
Bewoners in deze provincies krijgen het advies bewust meer te drinken en het huis koel te houden. Dit geldt vooral voor kwetsbare groepen, zoals ouderen, baby's, mensen met overgewicht en mensen met een chronische ziekte.
Ook automobilisten moeten alert zijn en voorbereid op de hitte, bijvoorbeeld door de auto na te laten kijken en extra drinken mee te nemen.
Daarnaast gelden er tijdens het hitteplan speciale regels voor het vervoer van vee. Er mogen minder dieren per wagen worden vervoerd en er moet goede ventilatie voor de dieren worden geregeld. Bij temperaturen van meer dan 35 graden mogen dieren helemaal niet meer de weg op.
Inspecteurs van de Nederlandse Voedsel- en Warenautoriteit (NVWA) gaan de komende dagen actieve controles uitvoeren. Voor bosrijke gebieden geldt een waarschuwing om uit te kijken voor branden die door de warmte kunnen ontstaan.",['NVWA gaat controles uitvoeren op aangepast veevervoer'],,['https://media.nu.nl/m/fgfxdaba6llu_wd854/strand-breskens.jpg'],True
8,Eerste tropische dag van 2020: 30 graden gemeten in Limburg,https://www.nu.nl/binnenland/6060049/eerste-tropische-dag-van-2020-30-graden-gemeten-in-limburg.html,True,"In het Limburgse Arcen is woensdag 30 graden gemeten. Dit gebeurde dit jaar nog niet eerder.
Naar verwachting wordt de komende uren op meer plaatsen in de zuidelijke helft van het land de 30 graden gehaald.
Het behalen van deze mijlpaal werd al verwacht. Vanaf woensdagochtend is het Nationaal Hitteplan van kracht in Limburg, Noord-Brabant, Overijssel, Gelderland, Zeeland, Zuid-Holland en Utrecht.
Dat besluit is genomen omdat de kans groot is dat zich in deze provincies de komende week een hittegolf voordoet. Dit betekent dat er vijf dagen achter elkaar temperaturen worden bereikt van 25 graden of meer. Het hitteplan is nu ingesteld voor provincies waar naar verwachting temperaturen rond en boven de 30 graden worden bereikt.
Bewoners in deze provincies krijgen het advies bewust meer te drinken en het huis koel te houden. Dit geldt vooral voor kwetsbare groepen, zoals ouderen, baby's, mensen met overgewicht en mensen met een chronische ziekte.
Het Rode Kruis heeft een aantal tips op een rijtje gezet om jezelf en andere koel te houden tijdens de hitte, ook in coronatijd. Om je huis koel te houden, raden ze aan om ramen open en gordijnen dicht te houden. Ook een ventilator gebruiken helpt, maar gebruik deze alleen binnen één huishouden.
Ook automobilisten moeten alert en voorbereid zijn op de hitte, bijvoorbeeld door de auto na te laten kijken en extra drinken mee te nemen.
Daarnaast gelden er tijdens het hitteplan speciale regels voor het vervoer van vee. Er mogen minder dieren per wagen worden vervoerd en er moet goede ventilatie voor de dieren worden geregeld. Bij temperaturen van meer dan 35 graden mogen dieren helemaal niet meer de weg op.","[""'Meer drinken en huis koel houden'""]",,['https://media.nu.nl/m/vqbx9u9azwgq_wd854/eerste-tropische-dag-van-2020-30-graden-gemeten-in-limburg.jpg'],True
9,Hoe hou je het hoofd koel tijdens tropische dagen en nachten?,https://www.nu.nl/dit-wordt-het-nieuws/6060117/hoe-hou-je-het-hoofd-koel-tijdens-tropische-dagen-en-nachten.html,True,"In de middagpodcast Dit wordt het nieuws praten we je bij over het belangrijkste nieuws van nu en bespreken we wat eerder op de woensdag is gebeurd.
Het Nationaal Hitteplan is sinds vandaag van kracht in zeven provincies en de eerste tropische dag is gemeten in Limburg. Wat merk jij hiervan? Je zweet meer, je bent sneller uitgedroogd en je valt niet al te makkelijk in slaap. Hoe kunnen we ons hoofd koel houden deze dagen? Hoe doe je dat overdag tijdens je werk op kantoor of in je snikhete woning en 's nachts als je voor de zoveelste keer woelend in slaap probeert te komen?
Twee experts geven je in deze podcast een aantal tips. We praten met Boris Kingma, thermofysioloog van TNO en slaapexpert Winni Hofman van de Universiteit van Amsterdam.
Je kunt je ook gratis abonneren op de Dit wordt het nieuws-podcast. iOS-gebruikers kunnen dat via Apple Podcasts en Spotify. Mocht je een Android-telefoon hebben, dan kun je de podcast beluisteren door in een gedownloade podcastapp te zoeken op NU.nl. Voor vragen of feedback stuur een mailtje naar: Podcast@nu.nl.Bevalt deze middageditie van onze podcast of mis je wellicht iets wat de afleveringen nog completer zou maken? Reageer hieronder via ons discussieplatform NUjij.",['Abonneer je op de podcast'],,['https://media.nu.nl/m/yt4x71la9rd4_wd854/hoe-hou-je-het-hoofd-koel-tijdens-tropische-dagen-en-nachten.jpg'],True
